Iteration,delta_random,delta_stratified,delta_auc

T Size = 300, Epochs = 1, Batch Size = 100, Lambda = 0.1, epsilon = 0.001
2,0.1045,0.5927,0.0617
2,0.1070,0.5927,0.0634
2,0.1087,0.5927,0.0521
2,0.0722,0.5927,0.0530
2,0.0746,0.5927,0.0523
2,0.0763,0.5927,0.0824
2,0.0757,0.5927,0.0825
2,0.0740,0.6071,0.0834
2,0.0778,0.6071,0.0850
2,0.0772,0.6071,0.0832
2,0.0873,0.6071,0.0815
2,0.0893,0.6200,0.0809
2,0.0846,0.6200,0.0531
2,0.0862,0.6200,0.0488
2,0.0885,0.6200,0.0506
2,0.0879,0.6149,0.0422
2,0.1195,0.5950,0.0406
2,0.1184,0.5950,0.0388
2,0.1192,0.5950,0.0406
2,0.1214,0.5950,0.0460
2,0.1236,0.5950,0.0512
2,0.1245,0.5950,0.0520
2,0.1266,0.5950,0.0505
2,0.1375,0.5950,0.0489
2,0.1342,0.3242,0.0490
2,0.1347,0.3242,0.0475
2,0.1305,0.3763,0.0483
2,0.1319,0.3763,0.0443
2,0.1340,0.3763,0.0461
2,0.1323,0.3763,0.0415
2,0.1337,0.3763,0.0347
2,0.1338,0.3763,0.0329
2,0.0790,0.3607,0.0331
2,0.0744,0.3786,0.0407
2,0.0725,0.3786,0.0416
2,0.1110,0.3786,0.0433
2,0.1118,0.3786,0.0436
2,0.1126,0.3786,0.0485
2,0.1081,0.3786,0.0471
2,0.1070,0.3841,0.0471
2,0.1068,0.3841,0.0480
2,0.1076,0.3841,0.0466
2,0.1046,0.3841,0.0449
2,0.1060,0.3841,0.0417
2,0.1019,0.3841,0.0431
2,0.0980,0.3841,0.0447
2,0.0986,0.3841,0.0463
2,0.0975,0.3841,0.0479
2,0.0995,0.3841,0.0519
2,0.0976,0.3841,0.0527
2,0.0598,0.3841,0.0489
2,0.0595,0.3841,0.0345
2,0.0593,0.3841,0.0358
2,0.0594,0.3841,0.0350
2,0.0602,0.3841,0.0350
2,0.0608,0.3841,0.0336
2,0.0606,0.3841,0.0344
2,0.0689,0.3663,0.0431
2,0.0707,0.3663,0.0430
2,0.0715,0.3663,0.0400
2,0.0721,0.3663,0.0388
2,0.0719,0.3663,0.0353
2,0.0380,0.3663,0.0368
2,0.0385,0.3663,0.0735
2,0.0337,0.3712,0.0745
2,0.0335,0.3712,0.0644
2,0.0348,0.3712,0.0659
2,0.0346,0.3712,0.0953
2,0.0359,0.3712,0.0958
2,0.0364,0.3712,0.0946
2,0.0398,0.3712,0.0954
2,0.0360,0.3712,0.0955
2,0.0377,0.2977,0.0963
2,0.0382,0.2977,0.0949
2,0.0394,0.2977,0.0949
2,0.0391,0.2977,0.0935
2,0.0395,0.2977,0.0936
2,0.0400,0.2977,0.0833
2,0.0417,0.2977,0.0870
2,0.0425,0.2977,0.0864
2,0.0437,0.2977,0.0702
2,0.0428,0.2977,0.0690
2,0.0441,0.2977,0.0657
2,0.0435,0.2807,0.0673
