Iteration,delta_random,delta_stratified,delta_auc

T Size = 300, Epochs = 1, Batch Size = 100, Lambda = 0.1, epsilon = 0.001
1,0.0240,0.0019,0.1246
1,0.0244,0.0015,0.1209
1,0.0216,0.0026,0.1189
1,0.0025,0.0037,0.1228
1,0.0017,0.0087,0.1189
1,0.0017,0.0045,0.1153
1,0.0013,0.0035,0.1115
1,0.0048,0.0059,0.1128
1,0.0019,0.0127,0.1163
1,0.0008,0.0093,0.1182
1,0.0134,0.0032,0.1131
1,0.0129,0.0012,0.1089
1,0.0125,0.0119,0.1115
1,0.0205,0.0082,0.1181
1,0.0237,0.0166,0.1215
1,0.0230,0.0143,0.1215
1,0.0234,0.0157,0.1196
1,0.0231,0.0113,0.1170
1,0.0217,0.0075,0.1196
1,0.0231,0.0008,0.1192
1,0.0215,0.0048,0.1143
1,0.0214,0.0034,0.1161
1,0.0231,0.0045,0.1168
1,0.0254,0.0039,0.1188

T Size = 200, Epochs = 1, Batch Size = 100, Lambda = 0.1, epsilon = 0.001
1,0.0019,0.0571,0.0832
1,0.0004,0.0635,0.1278
1,0.0025,0.1005,0.1358
1,0.0010,0.1308,0.1197
1,0.0039,0.0727,0.1249
1,0.0039,0.0627,0.1588
1,0.0108,0.0463,0.1935
1,0.0154,0.0028,0.1809
1,0.0208,0.0174,0.1798
1,0.0205,0.0119,0.0872
1,0.0214,0.0072,0.1131
1,0.0205,0.0095,0.1128
1,0.0224,0.0163,0.2054
1,0.0250,0.0035,0.1720
1,0.0224,0.0022,0.1944
1,0.0169,0.0094,0.2149
1,0.0188,0.0938,0.1984
1,0.0217,0.0961,0.2032
1,0.0138,0.0981,0.1543
1,0.0115,0.0819,0.0643
1,0.0058,0.0758,0.0604
1,0.0087,0.0948,0.0458
1,0.0089,0.1223,0.0514
1,0.0111,0.1166,0.0500
1,0.0129,0.1262,0.0715
1,0.0150,0.1113,0.0612
1,0.0196,0.0961,0.0678
1,0.0147,0.1052,0.0463
1,0.0217,0.1092,0.0741
1,0.0284,0.1173,0.0766
1,0.0090,0.0940,0.0773
1,0.0092,0.1182,0.0690
1,0.0058,0.0987,0.0613
1,0.0065,0.0946,0.0458
1,0.0049,0.0732,0.0624
1,0.0050,0.0899,0.0740
1,0.0066,0.0511,0.0747
1,0.0039,0.0316,0.0368
1,0.0057,0.0136,0.0586
1,0.0082,0.0354,0.0652
1,0.0068,0.0367,0.0570
1,0.0086,0.0541,0.0561
1,0.0016,0.0516,0.0248
1,0.0020,0.0839,0.0161
1,0.0147,0.0976,0.0289
1,0.0178,0.1160,0.0241
1,0.0163,0.0978,0.0260
1,0.0140,0.0897,0.0009
1,0.0152,0.0978,0.0073
1,0.0129,0.0873,0.0121
1,0.0114,0.0730,0.0220
1,0.0122,0.0543,0.0152
1,0.0121,0.0708,0.0071
1,0.0161,0.0277,0.0061
1,0.0173,0.0432,0.0041
1,0.0171,0.0331,0.0071
1,0.0117,0.0346,0.0096
1,0.0118,0.0364,0.0242
1,0.0180,0.0411,0.0177
1,0.0157,0.0717,0.0178
1,0.0110,0.0787,0.0096
1,0.0093,0.0930,0.0145
1,0.0086,0.0865,0.0085
1,0.0065,0.0889,0.0258
1,0.0138,0.0955,0.0220
1,0.0149,0.0930,0.0164
1,0.0172,0.1185,0.0082
1,0.0159,0.1246,0.0102
1,0.0374,0.1508,0.0056
1,0.0352,0.1452,0.0035
1,0.0344,0.1243,0.0014
1,0.0330,0.1372,0.0183
1,0.0308,0.1425,0.0549
1,0.0328,0.1252,0.0503
1,0.0374,0.1233,0.0454
1,0.0400,0.1252,0.0444
1,0.0379,0.1175,0.0415
1,0.0387,0.1215,0.0439
1,0.0366,0.1292,0.0385
1,0.0352,0.1345,0.0357
1,0.0353,0.1393,0.0243
1,0.0366,0.1417,0.0489
1,0.0402,0.1460,0.0420
1,0.0122,0.1430,0.0356
1,0.0139,0.1546,0.0199
1,0.0133,0.1487,0.0230
1,0.0111,0.1329,0.0321
1,0.0132,0.1265,0.0263
1,0.0134,0.1230,0.0113
1,0.0114,0.1146,0.0102
1,0.0102,0.1067,0.0047
1,0.0094,0.1055,0.0166
1,0.0074,0.1077,0.0318
1,0.0109,0.1161,0.0275
1,0.0138,0.1253,0.0297
1,0.0130,0.1274,0.0241
1,0.0144,0.1378,0.0261
1,0.0166,0.1469,0.0235
1,0.0118,0.1363,0.0323
1,0.0136,0.1355,0.0332
1,0.0138,0.1367,0.0341
1,0.0155,0.1453,0.0424
1,0.0149,0.1400,0.0518
1,0.0162,0.1251,0.0449
1,0.0142,0.1284,0.0525
1,0.0122,0.1427,0.0499
1,0.0105,0.1245,0.0464
1,0.0106,0.1282,0.0620
1,0.0091,0.1347,0.0620
1,0.0077,0.1329,0.0587
1,0.0077,0.1250,0.0625
1,0.0079,0.1315,0.0606
1,0.0101,0.1345,0.0562
1,0.0098,0.1279,0.0537
1,0.0089,0.1142,0.0518
1,0.0059,0.1048,0.0501
1,0.0014,0.1051,0.0498
1,0.0027,0.1116,0.0470
1,0.0035,0.1146,0.0431
1,0.0094,0.1223,0.0426
1,0.0106,0.1312,0.0400
1,0.0075,0.1218,0.0339
1,0.0087,0.1323,0.0291
1,0.0096,0.1281,0.0256

T Size = 200, Epochs = 1, Batch Size = 100, Lambda = 0.1, epsilon = 0.001
1,0.0260,0.1994,0.2721
1,0.0247,0.2005,0.2408
1,0.0541,0.2013,0.2687
1,0.0533,0.2020,0.2398
1,0.0511,0.2193,0.2814
1,0.0491,0.2278,0.2625
1,0.0469,0.2394,0.2557
1,0.0448,0.2545,0.2469
1,0.0474,0.2686,0.2669
1,0.0454,0.2451,0.2701
1,0.0429,0.2521,0.2748
1,0.0399,0.1927,0.2851
1,0.0239,0.1923,0.2945
1,0.0220,0.1984,0.3081
1,0.0223,0.1979,0.3055
1,0.0217,0.2021,0.3091
1,0.0220,0.2214,0.3126
1,0.0252,0.2209,0.2925
1,0.0309,0.2148,0.2957
1,0.0302,0.2143,0.2755
1,0.0296,0.2279,0.2744
1,0.0302,0.2402,0.2890
1,0.0305,0.2398,0.2922
1,0.0301,0.2421,0.2804
1,0.0326,0.2363,0.2626
1,0.0518,0.2345,0.2765
1,0.0366,0.2446,0.2572
1,0.0360,0.2440,0.2638
1,0.0287,0.2508,0.2485
1,0.0291,0.2242,0.2433
1,0.0284,0.2357,0.2005
1,0.0278,0.2254,0.2255
1,0.0306,0.2250,0.2262
1,0.0303,0.2125,0.2313
1,0.0297,0.2393,0.2378
1,0.0182,0.1930,0.2406
1,0.0170,0.1777,0.2431
1,0.0163,0.1636,0.2578
1,0.0196,0.1745,0.2618
1,0.0218,0.1460,0.2629
1,0.0259,0.1481,0.2323
1,0.0512,0.1432,0.2162
1,0.0435,0.1529,0.2060
1,0.0296,0.1708,0.1941
1,0.0289,0.1816,0.1787
1,0.0503,0.1705,0.1837
1,0.0483,0.1664,0.1728
1,0.0474,0.1625,0.1635
1,0.0504,0.1541,0.1697
1,0.0509,0.1329,0.1781
1,0.0549,0.1565,0.1544
1,0.0542,0.1122,0.1558
1,0.0690,0.1116,0.1498
1,0.0625,0.0964,0.1581
1,0.0662,0.1007,0.1473
1,0.0655,0.0996,0.1643
1,0.0630,0.0995,0.1791
1,0.0673,0.1014,0.1760
1,0.0683,0.1141,0.1676
1,0.0719,0.1214,0.1838
1,0.0643,0.1402,0.1798
1,0.0619,0.1380,0.1691
1,0.0595,0.1411,0.1597
1,0.0420,0.1335,0.1728
1,0.0433,0.1369,0.1749
1,0.0446,0.1339,0.1894
1,0.0475,0.1450,0.1761
1,0.0468,0.1581,0.1670
1,0.0445,0.1537,0.1693
1,0.0422,0.1340,0.1698
1,0.0226,0.1496,0.1572
1,0.0212,0.1526,0.1540
1,0.0105,0.1286,0.1509
1,0.0097,0.1290,0.1536
1,0.0120,0.1306,0.1568
1,0.0097,0.1253,0.1505
1,0.0131,0.1293,0.1523
1,0.0114,0.1332,0.1605
1,0.0142,0.1381,0.1577
1,0.0296,0.1318,0.1549
1,0.0278,0.1355,0.1599
1,0.0311,0.1423,0.1487
1,0.0289,0.1365,0.1411
1,0.0401,0.1449,0.1343
1,0.0406,0.1338,0.1368
1,0.0399,0.1198,0.1481
1,0.0394,0.1126,0.1504
1,0.0497,0.1069,0.1536
1,0.0567,0.1015,0.1558
1,0.0462,0.0894,0.1632
1,0.0360,0.0907,0.1720
1,0.0338,0.0873,0.1736
1,0.0325,0.0936,0.1737
1,0.0342,0.1028,0.1757
1,0.0344,0.1041,0.1698
1,0.0158,0.1163,0.1772
1,0.0172,0.1259,0.1584
1,0.0201,0.1150,0.1603
1,0.0270,0.1089,0.1634
1,0.0228,0.1096,0.1433
1,0.0249,0.1192,0.1308
1,0.0289,0.1110,0.1331
1,0.0285,0.0984,0.1396
1,0.0283,0.1007,0.1377
1,0.0127,0.1122,0.1502
1,0.0135,0.0945,0.1533
1,0.0154,0.0950,0.1492
1,0.0190,0.0982,0.1544
1,0.0209,0.0950,0.1461
1,0.0222,0.0877,0.1494
1,0.0172,0.0944,0.1491
1,0.0191,0.0946,0.1502
1,0.0233,0.0895,0.1493
1,0.0193,0.0759,0.1513
1,0.0188,0.0674,0.1523
1,0.0207,0.0692,0.1579
1,0.0191,0.0754,0.1530
1,0.0176,0.0789,0.1587
1,0.0221,0.0881,0.1623
1,0.0196,0.0953,0.1658
1,0.0202,0.0885,0.1618
1,0.0200,0.0966,0.1566
1,0.0182,0.0941,0.1584
2,0.0034,0.0817,0.1986
2,0.0081,0.0851,0.1945
2,0.0138,0.0912,0.2204
2,0.0005,0.1029,0.2150
2,0.0147,0.0956,0.2201
2,0.0220,0.1054,0.2208
2,0.0257,0.1048,0.2005
2,0.0293,0.1145,0.1779
2,0.0345,0.1153,0.1832
2,0.0279,0.1235,0.1859
2,0.0479,0.1156,0.1946
2,0.0505,0.1099,0.1979
2,0.0574,0.1010,0.2066
2,0.0513,0.1014,0.2157
2,0.0453,0.0938,0.2180
2,0.0583,0.0934,0.2262
2,0.0563,0.0922,0.2176
2,0.0611,0.0970,0.2120
2,0.0658,0.0890,0.2215
2,0.0602,0.0950,0.2162
2,0.0568,0.1022,0.2185
2,0.0442,0.1051,0.2280
2,0.0443,0.1072,0.2302
2,0.0484,0.1004,0.2288
2,0.0601,0.0931,0.2228
2,0.0604,0.0817,0.2273
2,0.0607,0.0919,0.2203
2,0.0603,0.0793,0.2288
2,0.0601,0.0710,0.2237
2,0.0645,0.0587,0.2231
2,0.0681,0.0534,0.2122
2,0.0629,0.0432,0.2221
2,0.0534,0.0379,0.2243
2,0.0576,0.0428,0.2270
2,0.0526,0.0438,0.2345
2,0.0472,0.0352,0.2377
2,0.0423,0.0428,0.2408
2,0.0407,0.0437,0.2451
2,0.0360,0.0467,0.2471
2,0.0361,0.0567,0.2491
2,0.0315,0.0553,0.2372
2,0.0639,0.0467,0.2138
2,0.0698,0.0532,0.2100
2,0.0738,0.0518,0.2053
2,0.0836,0.0548,0.1975
2,0.0821,0.0645,0.1999
2,0.0812,0.0595,0.1954
2,0.0638,0.0576,0.1909
2,0.0639,0.0606,0.1924
2,0.0357,0.0643,0.2097
2,0.0332,0.0521,0.2000
2,0.0335,0.0415,0.2004
2,0.0514,0.0436,0.1991
2,0.0528,0.0517,0.2057
2,0.0516,0.0421,0.2007
2,0.0475,0.0484,0.2089
2,0.0509,0.0523,0.2395
2,0.0469,0.0583,0.2369
2,0.0367,0.0565,0.2325
2,0.0048,0.0550,0.2462
2,0.0082,0.0529,0.2454
2,0.0077,0.0612,0.2397
2,0.0087,0.0483,0.2350
2,0.0063,0.0563,0.2387
2,0.0070,0.0465,0.2408
2,0.0033,0.0455,0.2495
2,0.0005,0.0407,0.2427
2,0.0061,0.0369,0.2361
2,0.0080,0.0439,0.2365
2,0.0044,0.0488,0.2381
2,0.0292,0.0453,0.2188
2,0.0322,0.0519,0.2181
2,0.0289,0.0423,0.2174
2,0.0291,0.0467,0.2193
2,0.0212,0.0525,0.2212
2,0.0297,0.0439,0.2176
2,0.0321,0.0503,0.2195
2,0.0322,0.0451,0.2227
2,0.0300,0.0397,0.2227
2,0.0268,0.0462,0.2220
2,0.0288,0.0539,0.2243
2,0.0308,0.0524,0.2181
2,0.0291,0.0558,0.2133
2,0.0315,0.0627,0.2010
2,0.0294,0.0671,0.2015
2,0.0277,0.0588,0.2060
2,0.0465,0.0626,0.2064
2,0.0450,0.0535,0.2084
2,0.0526,0.0594,0.2088
2,0.0600,0.0536,0.2120
2,0.0733,0.0520,0.2151
2,0.0702,0.0518,0.2167
2,0.0696,0.0469,0.2179
2,0.0708,0.0488,0.2194
2,0.0644,0.0503,0.2155
2,0.0644,0.0507,0.2185
2,0.0673,0.0414,0.1888
2,0.0652,0.0395,0.1902
2,0.0652,0.0362,0.1927
2,0.0721,0.0291,0.1622
2,0.0723,0.0337,0.1572
2,0.0691,0.0320,0.1589
2,0.0659,0.0256,0.1724
2,0.0646,0.0265,0.1724
2,0.0630,0.0282,0.1946
2,0.0509,0.0339,0.1963
2,0.0536,0.0332,0.1937
2,0.0524,0.0399,0.1979
2,0.0444,0.0317,0.1930
2,0.0443,0.0372,0.1929
2,0.0470,0.0358,0.1938
2,0.0488,0.0360,0.1953
2,0.0484,0.0347,0.1940
2,0.0487,0.0315,0.1946
2,0.0762,0.0236,0.1960
2,0.0744,0.0234,0.1990
2,0.0619,0.0250,0.1958
2,0.0627,0.0318,0.1998
2,0.0541,0.0341,0.2036
2,0.0541,0.0364,0.2053
2,0.0561,0.0343,0.1976
2,0.0540,0.0348,0.1940
2,0.0541,0.0415,0.1953
3,0.1233,0.0092,0.1986
3,0.1241,0.0156,0.2012
3,0.1305,0.0248,0.1971
3,0.1365,0.0346,0.1914
3,0.1421,0.0273,0.2175
3,0.1374,0.0422,0.2097
3,0.1883,0.0424,0.2105
3,0.1902,0.0513,0.1986
3,0.1952,0.0538,0.2036
3,0.1715,0.0486,0.2044
3,0.1679,0.0510,0.1994
3,0.1643,0.0427,0.1978
3,0.1650,0.0449,0.1922
3,0.1954,0.0463,0.1907
3,0.1983,0.0506,0.1995
3,0.1972,0.0418,0.1764
3,0.1960,0.0467,0.2197
3,0.2007,0.0559,0.2002
3,0.2016,0.0598,0.2080
3,0.2037,0.0635,0.2110
3,0.2026,0.0553,0.2132
3,0.2030,0.0452,0.2059
3,0.2019,0.0592,0.1807
3,0.1987,0.0497,0.1821
3,0.2030,0.0418,0.1847
3,0.2056,0.0293,0.1777
3,0.2061,0.0202,0.1813
3,0.2086,0.0171,0.1769
3,0.2094,0.0209,0.1731
3,0.2133,0.0233,0.1776
3,0.2141,0.0149,0.1562
3,0.2118,0.0210,0.1426
3,0.2126,0.0213,0.1451
3,0.2115,0.0362,0.1390
3,0.2123,0.0345,0.1465
3,0.2420,0.0419,0.1449
3,0.2429,0.0401,0.1436
3,0.2419,0.0411,0.1396
3,0.2427,0.0490,0.1415
3,0.2410,0.0438,0.1434
3,0.2427,0.0421,0.1553
3,0.2417,0.0446,0.1572
3,0.2407,0.0284,0.1531
3,0.1729,0.0147,0.1550
3,0.1746,0.0151,0.1139
3,0.1751,0.0267,0.1157
3,0.1777,0.0187,0.1105
3,0.1781,0.0264,0.1168
3,0.1771,0.0319,0.1220
3,0.1762,0.0374,0.1509
3,0.1784,0.0366,0.1594
3,0.2029,0.0354,0.1655
3,0.2001,0.0427,0.1678
3,0.1837,0.0315,0.1714
3,0.1651,0.0384,0.1726
3,0.1687,0.0299,0.1672
3,0.1693,0.0282,0.1725
3,0.1706,0.0227,0.1742
3,0.1697,0.0283,0.1691
3,0.1337,0.0327,0.1712
3,0.1328,0.0379,0.1723
3,0.1328,0.0284,0.1809
3,0.1221,0.0325,0.1671
3,0.1197,0.0393,0.1727
3,0.1168,0.0335,0.1762
3,0.1263,0.0279,0.1778
3,0.1263,0.0337,0.1736
3,0.1311,0.0440,0.1751
3,0.1315,0.0431,0.1710
3,0.1314,0.0452,0.1729
3,0.1285,0.0535,0.1629
3,0.1285,0.0457,0.1687
3,0.1476,0.0506,0.1680
3,0.1452,0.0414,0.1656
3,0.1454,0.0462,0.1724
3,0.1455,0.0417,0.1743
3,0.1505,0.0393,0.1770
3,0.1509,0.0386,0.1452
3,0.1458,0.0332,0.1459
3,0.1486,0.0353,0.1485
3,0.1437,0.0345,0.1485
3,0.1439,0.0229,0.1524
3,0.1429,0.0224,0.1478
3,0.1415,0.0219,0.1571
3,0.1406,0.0139,0.1548
3,0.1408,0.0177,0.1548
3,0.1403,0.0157,0.1592
3,0.1475,0.0095,0.1549
3,0.1489,0.0115,0.1541
3,0.1523,0.0194,0.1507
3,0.1500,0.0082,0.1590
3,0.1489,0.0143,0.1497
3,0.1507,0.0141,0.1515
3,0.1470,0.0135,0.1528
3,0.1470,0.0082,0.1572
3,0.1472,0.0008,0.1548
3,0.1499,0.0005,0.1422
3,0.1501,0.0018,0.1439
3,0.1471,0.0109,0.1432
3,0.1472,0.0125,0.1445
3,0.1462,0.0140,0.1197
3,0.1440,0.0135,0.1232
3,0.1452,0.0133,0.1195
3,0.1454,0.0222,0.1208
4,0.1006,0.0480,0.1270
4,0.1074,0.0533,0.1234
4,0.1105,0.0491,0.1490
4,0.1158,0.0453,0.1443
4,0.1153,0.0536,0.1485
4,0.1110,0.0599,0.1489
4,0.0556,0.0754,0.1277
4,0.0584,0.0720,0.1208
4,0.0611,0.0803,0.1251
4,0.0598,0.0712,0.1273
4,0.0557,0.0650,0.1317
4,0.0545,0.0695,0.1353
4,0.0527,0.0575,0.1446
4,0.0489,0.0617,0.1540
4,0.0515,0.0701,0.1559
4,0.0588,0.0740,0.1615
4,0.0464,0.0742,0.1622
4,0.0828,0.0821,0.1574
4,0.0819,0.0744,0.1697
4,0.0844,0.0803,0.1654
4,0.0930,0.0557,0.1672
4,0.0922,0.0532,0.1768
4,0.0884,0.0422,0.1786
4,0.0907,0.0457,0.1773
4,0.0988,0.0490,0.1720
4,0.0951,0.0395,0.1758
4,0.0825,0.0389,0.1696
4,0.0842,0.0411,0.1755
4,0.0390,0.0321,0.1713
4,0.0562,0.0283,0.1697
4,0.0595,0.0257,0.1623
4,0.0510,0.0231,0.1690
4,0.0477,0.0115,0.1708
4,0.0444,0.0189,0.1730
4,0.0493,0.0131,0.1772
4,0.0557,0.0058,0.1779
4,0.0526,0.0054,0.1786
4,0.0541,0.0074,0.1822
4,0.0505,0.0045,0.1839
4,0.0552,0.0078,0.1855
4,0.0648,0.0142,0.1775
4,0.0663,0.0188,0.1540
4,0.0724,0.0116,0.1506
4,0.0737,0.0204,0.1464
4,0.0723,0.0304,0.1409
4,0.0692,0.0340,0.1428
4,0.0502,0.0374,0.1388
4,0.0514,0.0382,0.1348
4,0.0487,0.0545,0.1362
4,0.0460,0.0527,0.1547
4,0.0484,0.0609,0.1479
4,0.0543,0.0448,0.1471
4,0.0517,0.0346,0.1459
4,0.0517,0.0327,0.1529
4,0.0517,0.0358,0.1484
4,0.0590,0.0338,0.1543
4,0.0564,0.0357,0.1822
4,0.0563,0.0431,0.1797
4,0.0549,0.0487,0.1757
4,0.0499,0.0565,0.1893
4,0.0526,0.0471,0.1885
4,0.0502,0.0476,0.1833
4,0.0563,0.0462,0.1790
4,0.0487,0.0485,0.1822
4,0.0460,0.0419,0.1840
4,0.0465,0.0493,0.1911
4,0.0442,0.0402,0.1860
4,0.0448,0.0328,0.1810
4,0.0370,0.0398,0.1804
4,0.0347,0.0294,0.1818
4,0.0353,0.0278,0.1620
4,0.0354,0.0141,0.1613
4,0.0360,0.0095,0.1606
4,0.0365,0.0045,0.1622
4,0.0344,0.0038,0.1637
4,0.0294,0.0083,0.1605
4,0.0309,0.0179,0.1620
4,0.0340,0.0308,0.1648
4,0.0406,0.0254,0.1647
4,0.0402,0.0383,0.1641
4,0.0328,0.0442,0.1667
4,0.0330,0.0368,0.1620
4,0.0310,0.0344,0.1576
4,0.0290,0.0381,0.1447
4,0.0502,0.0390,0.1442
4,0.0351,0.0433,0.1482
4,0.0239,0.0353,0.1476
4,0.0225,0.0399,0.1493
4,0.0096,0.0356,0.1488
4,0.0077,0.0371,0.1516
4,0.0017,0.0365,0.1544
4,0.0072,0.0344,0.1557
4,0.0059,0.0244,0.1567
4,0.0003,0.0255,0.1580
4,0.0288,0.0226,0.1545
4,0.0307,0.0238,0.1571
4,0.0317,0.0126,0.1385
4,0.0327,0.0091,0.1397
4,0.0271,0.0059,0.1414
4,0.0289,0.0120,0.1210
4,0.0544,0.0060,0.1169
4,0.0772,0.0109,0.1184
4,0.0710,0.0102,0.1328
4,0.0677,0.0029,0.1327
4,0.0773,0.0004,0.1538
4,0.0737,0.0091,0.1553
4,0.0750,0.0076,0.1529
4,0.0755,0.0157,0.1563
4,0.0718,0.0123,0.1523
4,0.0672,0.0080,0.1523
4,0.0643,0.0093,0.1531
4,0.0652,0.0040,0.1544
4,0.0577,0.0053,0.1529
4,0.0582,0.0022,0.1527
4,0.0524,0.0007,0.1539
4,0.0680,0.0092,0.1572
4,0.0694,0.0031,0.1542
4,0.0704,0.0027,0.1575
4,0.0701,0.0030,0.1607
4,0.0961,0.0078,0.1622
4,0.0833,0.0075,0.1545
4,0.0845,0.0094,0.1513
4,0.1007,0.0133,0.1524
4,0.0965,0.0121,0.1553
4,0.0965,0.0109,0.1584
4,0.0965,0.0090,0.1547
4,0.0917,0.0115,0.1533
4,0.0846,0.0175,0.1596
4,0.0865,0.0164,0.1586
4,0.0884,0.0132,0.1402
4,0.0848,0.0089,0.1409
4,0.0866,0.0129,0.1382
4,0.0868,0.0202,0.1439
4,0.0940,0.0261,0.1468
4,0.0889,0.0241,0.1433
4,0.0941,0.0172,0.1449
4,0.0959,0.0214,0.1404
4,0.0945,0.0252,0.1389
4,0.0892,0.0279,0.1427
4,0.0910,0.0324,0.1442
4,0.0858,0.0313,0.1469
4,0.0925,0.0349,0.1488
4,0.0869,0.0330,0.1418
4,0.0960,0.0402,0.1428
4,0.0998,0.0418,0.1422
4,0.1013,0.0460,0.1436
4,0.1022,0.0477,0.1438
4,0.1040,0.0466,0.1407
4,0.1057,0.0470,0.1427
4,0.1099,0.0453,0.1420
4,0.1094,0.0522,0.1251
4,0.1156,0.0559,0.1262
4,0.1123,0.0512,0.1272
5,0.1895,0.0541,0.1270
5,0.1916,0.0591,0.1234
5,0.1945,0.0577,0.1490
5,0.1973,0.0624,0.1443
5,0.1992,0.0611,0.1485
5,0.2010,0.0682,0.1489
5,0.2036,0.0758,0.1277
5,0.2129,0.0800,0.1208
5,0.2144,0.0905,0.1251
5,0.2134,0.0874,0.1273
5,0.2152,0.0748,0.1317
5,0.2169,0.0817,0.1353
5,0.2138,0.0743,0.1446
5,0.2129,0.0697,0.1540
5,0.2153,0.0764,0.1559
5,0.2214,0.0660,0.1615
5,0.2238,0.0646,0.1622
5,0.2262,0.0536,0.1574
5,0.2240,0.0471,0.1697
5,0.2142,0.0495,0.1654
5,0.2165,0.0534,0.1672
5,0.2188,0.0472,0.1768
5,0.2210,0.0380,0.1786
5,0.2136,0.0302,0.1773
5,0.2145,0.0389,0.1720
5,0.2167,0.0382,0.1758
5,0.1777,0.0312,0.1696
5,0.1789,0.0391,0.1755
5,0.1814,0.0408,0.1713
5,0.1773,0.0326,0.1697
5,0.1714,0.0299,0.1623
5,0.1733,0.0291,0.1690
5,0.1732,0.0240,0.1708
5,0.1750,0.0256,0.1730
5,0.1789,0.0180,0.1772
5,0.1807,0.0202,0.1779
5,0.1738,0.0185,0.1786
5,0.1676,0.0256,0.1822
5,0.1640,0.0290,0.1839
5,0.1641,0.0332,0.1855
5,0.1606,0.0329,0.1775
5,0.1626,0.0276,0.1540
5,0.1242,0.0304,0.1506
5,0.1147,0.0260,0.1464
5,0.1164,0.0362,0.1409
5,0.1186,0.0356,0.1428
5,0.1095,0.0326,0.1388
5,0.1084,0.0390,0.1348
5,0.1100,0.0422,0.1362
5,0.1068,0.0393,0.1547
5,0.1079,0.0411,0.1479
5,0.0991,0.0466,0.1471
5,0.0965,0.0500,0.1459
5,0.0913,0.0549,0.1529
5,0.0930,0.0529,0.1484
5,0.0884,0.0550,0.1543
5,0.0962,0.0581,0.1822
5,0.0933,0.0481,0.1797
5,0.0944,0.0415,0.1757
5,0.0946,0.0447,0.1893
5,0.1082,0.0369,0.1885
5,0.1108,0.0388,0.1833
5,0.1096,0.0364,0.1790
5,0.1164,0.0411,0.1822
5,0.1290,0.0357,0.1840
5,0.1204,0.0409,0.1911
5,0.1272,0.0357,0.1860
5,0.1287,0.0348,0.1810
5,0.1252,0.0397,0.1804
5,0.1226,0.0441,0.1818
5,0.1237,0.0491,0.1620
5,0.1252,0.0540,0.1613
5,0.1275,0.0562,0.1606
5,0.1277,0.0518,0.1622
5,0.1342,0.0499,0.1637
5,0.1364,0.0496,0.1605
5,0.1381,0.0394,0.1620
5,0.1404,0.0409,0.1648
5,0.1285,0.0325,0.1647
5,0.1295,0.0298,0.1641
5,0.1268,0.0195,0.1667
5,0.1281,0.0105,0.1620
5,0.1202,0.0139,0.1576
5,0.1219,0.0099,0.1447
5,0.1163,0.0075,0.1442
5,0.1144,0.0045,0.1482
5,0.1147,0.0096,0.1476
5,0.1070,0.0044,0.1493
5,0.1086,0.0007,0.1488
5,0.0880,0.0050,0.1516
5,0.0897,0.0007,0.1544
5,0.0857,0.0057,0.1557
5,0.0867,0.0019,0.1567
5,0.0849,0.0063,0.1580
5,0.0865,0.0107,0.1545
5,0.0884,0.0091,0.1571
5,0.0863,0.0015,0.1385
5,0.0875,0.0033,0.1397
5,0.0860,0.0009,0.1414
5,0.0920,0.0041,0.1210
5,0.0850,0.0039,0.1169
5,0.0863,0.0024,0.1184
5,0.0713,0.0008,0.1328
5,0.0679,0.0001,0.1327
5,0.0561,0.0086,0.1538
5,0.0440,0.0116,0.1553
5,0.0436,0.0155,0.1529
5,0.0448,0.0160,0.1563
5,0.0456,0.0200,0.1523
5,0.0436,0.0127,0.1523
5,0.0444,0.0177,0.1531
5,0.0344,0.0124,0.1544
5,0.0284,0.0157,0.1529
5,0.0296,0.0218,0.1527
5,0.0253,0.0232,0.1539
5,0.0321,0.0245,0.1572
5,0.0398,0.0236,0.1542
5,0.0406,0.0290,0.1575
5,0.0418,0.0336,0.1607
5,0.0385,0.0245,0.1622
5,0.0400,0.0292,0.1545
5,0.0337,0.0269,0.1513
5,0.0306,0.0314,0.1524
5,0.0318,0.0292,0.1553
5,0.0378,0.0197,0.1584
5,0.0354,0.0228,0.1547
5,0.0371,0.0214,0.1533
5,0.0388,0.0254,0.1596
5,0.0400,0.0267,0.1586
5,0.0421,0.0286,0.1402
5,0.0432,0.0266,0.1409
5,0.0435,0.0254,0.1382
5,0.0386,0.0215,0.1439
5,0.0396,0.0199,0.1468
5,0.0407,0.0164,0.1433
5,0.0367,0.0231,0.1449
5,0.0380,0.0273,0.1404
5,0.0396,0.0271,0.1389
5,0.0422,0.0219,0.1427
5,0.0419,0.0157,0.1442
5,0.0417,0.0103,0.1469
5,0.0429,0.0146,0.1488
5,0.0437,0.0135,0.1418
5,0.0448,0.0120,0.1428
5,0.0461,0.0181,0.1422
5,0.0325,0.0143,0.1436
5,0.0507,0.0159,0.1438
5,0.0512,0.0176,0.1407
5,0.0527,0.0216,0.1427
5,0.0521,0.0197,0.1420
5,0.0516,0.0174,0.1251
5,0.0528,0.0231,0.1262
5,0.0535,0.0255,0.1272
6,0.1318,0.0056,0.1270
6,0.1300,0.0118,0.1234
6,0.1076,0.0111,0.1490
6,0.1070,0.0157,0.1443
6,0.1167,0.0150,0.1485
6,0.1161,0.0227,0.1489
6,0.1134,0.0308,0.1277
6,0.1118,0.0362,0.1208
6,0.1123,0.0472,0.1251
6,0.1188,0.0440,0.1273
